                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6371,                 4.3489,                 2.1889,                      0,                      0,                      0,                      0,                0.82704,                 4.1472,                 1.6581,             0.00017046,             0.00017046,             0.00017046
                      2,                 1.4789,                 4.1902,                 2.0794,                0.03605,                0.14286,                0.03883,                0.02749,                0.96877,                 4.1806,                 1.7806,             0.00017463,             0.00017463,             0.00017463
